ID,Provincia,Canton,Localizacion,Cantidad,Tasa,Genero,Año
,SAN JOSE,CENTRAL,ESTOMAGO,30,17.04,HOMBRE,2011
,SAN JOSE,ESCAZU,ESTOMAGO,2,6.57,HOMBRE,2011
,SAN JOSE,DESAMPARADOS,ESTOMAGO,26,17.09,HOMBRE,2011
,SAN JOSE,PURISCAL,ESTOMAGO,2,12.69,HOMBRE,2011
,SAN JOSE,TARRAZU,ESTOMAGO,2,23.76,HOMBRE,2011
,SAN JOSE,ASERRI,ESTOMAGO,5,17.8,HOMBRE,2011
,SAN JOSE,MORA,ESTOMAGO,4,29.23,HOMBRE,2011
,SAN JOSE,GOICOECHEA,ESTOMAGO,13,19.81,HOMBRE,2011
,SAN JOSE,SANTA ANA,ESTOMAGO,5,22.71,HOMBRE,2011
,SAN JOSE,ALAJUELITA,ESTOMAGO,2,3,HOMBRE,2011
,SAN JOSE,CORONADO,ESTOMAGO,3,7.26,HOMBRE,2011
,SAN JOSE,ACOSTA,ESTOMAGO,4,40.05,HOMBRE,2011
,SAN JOSE,TIBAS,ESTOMAGO,10,33.22,HOMBRE,2011
,SAN JOSE,MORAVIA,ESTOMAGO,2,7.38,HOMBRE,2011
,SAN JOSE,MONTES DE OCA,ESTOMAGO,1,3.77,HOMBRE,2011
,SAN JOSE,TURRUBARES,ESTOMAGO,3,125.52,HOMBRE,2011
,SAN JOSE,DOTA,ESTOMAGO,1,29.96,HOMBRE,2011
,SAN JOSE,CURRIDABAT,ESTOMAGO,6,16.44,HOMBRE,2011
,SAN JOSE,PEREZ ZELEDON,ESTOMAGO,15,22.98,HOMBRE,2011
,SAN JOSE,LEON CORTES,ESTOMAGO,3,43.96,HOMBRE,2011
,ALAJUELA,CENTRAL,ESTOMAGO,19,13.09,HOMBRE,2011
,ALAJUELA,SAN RAMON,ESTOMAGO,6,13.21,HOMBRE,2011
,ALAJUELA,GRECIA,ESTOMAGO,5,11.84,HOMBRE,2011
,ALAJUELA,SAN MATEO,ESTOMAGO,1,33.5,HOMBRE,2011
,ALAJUELA,ATENAS,ESTOMAGO,3,22.45,HOMBRE,2011
,ALAJUELA,NARANJO,ESTOMAGO,8,34.75,HOMBRE,2011
,ALAJUELA,PALMARES,ESTOMAGO,1,5.17,HOMBRE,2011
,ALAJUELA,POAS,ESTOMAGO,3,18.45,HOMBRE,2011
,ALAJUELA,OROTINA,ESTOMAGO,2,20.87,HOMBRE,2011
,ALAJUELA,SAN CARLOS,ESTOMAGO,6,7.73,HOMBRE,2011
,ALAJUELA,ALFARO RUIZ,ESTOMAGO,1,12.84,HOMBRE,2011
,ALAJUELA,VALVERDE VEGA,ESTOMAGO,1,10.94,HOMBRE,2011
,ALAJUELA,UPALA,ESTOMAGO,4,21.35,HOMBRE,2011
,ALAJUELA,LOS CHILES,ESTOMAGO,2,18.48,HOMBRE,2011
,ALAJUELA,GUATUSO,ESTOMAGO,0,0,HOMBRE,2011
,CARTAGO,CENTRAL,ESTOMAGO,12,15.28,HOMBRE,2011
,CARTAGO,PARAISO,ESTOMAGO,4,11.34,HOMBRE,2011
,CARTAGO,LA UNION,ESTOMAGO,7,13.03,HOMBRE,2011
,CARTAGO,JIMENEZ,ESTOMAGO,6,84.7,HOMBRE,2011
